Detected,Restaurant,Park,Item,Category,Old Price,New Price,Change,Percent,Source
2026-09-04 17:23,"The BOATHOUSE®: Great Food, Waterfront Dining, Dream Boats™",Disney Springs,Coriander Seared Yellowfin Tuna*,Market Fresh Fish,41.00,44.50,3.50,8.5%,disney-springs/boathouse-restaurant
2026-09-04 17:23,Chef Art Smith's Homecomin',Disney Springs,Fish Sticks,Kids' Plates,10.00,13.00,3.00,30.0%,disney-springs/chef-art-smiths-homecomin
2026-09-04 17:23,Chef Art Smith's Homecomin',Disney Springs,Fried Chicken Tenders,Kids' Plates,10.00,13.00,3.00,30.0%,disney-springs/chef-art-smiths-homecomin
2026-09-04 17:23,Chef Art Smith's Homecomin',Disney Springs,Cheeseburger,Kids' Plates,10.00,13.00,3.00,30.0%,disney-springs/chef-art-smiths-homecomin
2026-09-08 17:46,Oga's Cantina,Disney's Hollywood Studios,Jabba Juice,Concoctions without Alcohol,17.50,8.00,-9.50,-54.3%,hollywood-studios/ogas-cantina
2026-09-10 22:17,YeSake Kiosk,Disney Springs,Taiyaki,Street Food Snacks,6.00,6.75,0.75,12.5%,disney-springs/yesake
2026-09-10 22:17,YeSake Kiosk,Disney Springs,YeSake's Favorite,Fresh Bowls,12.00,15.00,3.00,25.0%,disney-springs/yesake
2026-09-10 22:17,YeSake Kiosk,Disney Springs,Tofu Power Bowl,Fresh Bowls,13.00,14.00,1.00,7.7%,disney-springs/yesake
2026-09-10 22:17,YeSake Kiosk,Disney Springs,Ahi Tuna Poke,Fresh Bowls,14.00,15.00,1.00,7.1%,disney-springs/yesake
2026-09-10 22:17,YeSake Kiosk,Disney Springs,Fresh Ahi Tuna*,Build Your Own Poke Bowl,12.00,15.00,3.00,25.0%,disney-springs/yesake
2026-09-10 22:17,YeSake Kiosk,Disney Springs,Fresh Salmon,Build Your Own Poke Bowl,12.00,15.00,3.00,25.0%,disney-springs/yesake
2026-09-10 22:17,YeSake Kiosk,Disney Springs,Chicken Breast,Build Your Own Poke Bowl,12.00,15.00,3.00,25.0%,disney-springs/yesake
2026-09-10 22:17,YeSake Kiosk,Disney Springs,Sliced Beef,Build Your Own Poke Bowl,12.00,15.00,3.00,25.0%,disney-springs/yesake
2026-09-10 22:17,YeSake Kiosk,Disney Springs,Organic Tofu,Build Your Own Poke Bowl,12.00,15.00,3.00,25.0%,disney-springs/yesake
2026-09-10 22:17,YeSake Kiosk,Disney Springs,Kirin Frozen Draft Beer,Assorted Beer,10.00,11.00,1.00,10.0%,disney-springs/yesake
2026-09-10 22:17,YeSake Kiosk,Disney Springs,Strawberry Nigori Sake 4oz,Alcoholic Beverages,9.50,10.00,0.50,5.3%,disney-springs/yesake
2026-09-10 22:17,YeSake Kiosk,Disney Springs,Nigori Sake,Alcoholic Beverages,9.50,10.00,0.50,5.3%,disney-springs/yesake
2026-09-10 22:17,YeSake Kiosk,Disney Springs,Hot or Cold Sake,Alcoholic Beverages,8.00,9.00,1.00,12.5%,disney-springs/yesake
